route_id,priority,review_action,route_theme,intent,city_category,map_morphology_class,scene_category,operation_tags,diversity_role,start_id,start_name,start_xyz,via_ids,via_names,endpoint_id,endpoint_name,endpoint_xyz,prompt_zh,static_probe_status,static_probe_length_blocks,static_probe_waypoint_count,static_probe_notes,manual_review_goal
SLR76-001,1,try_first,school_long_estate_walk,student_to_school,dense_hong_kong_hillside_public_estate,multilevel_estate_walkway_to_institution,education,"ordinary_walk|junction_choice|level_change|stairs_or_slope|covered_walkway_candidate|no_vehicle",Covers Shun Lee hillside estate school route; does not satisfy cross-map natural/countryside diversity.,SL76-050,第3座 Block 3,"-267,10,-661","SL76-070|SL76-068|SL76-035","corridor_service_lane way/1075072171|新清水灣道 New Clear Water Bay Road|school_estate_walk way/120978735",SL76-030,滙基書院（東九龍） United Christian College (Kowloon East),"-135,-2,-599",你是住在顺利邨的学生。请从第3座出发，沿屋邨步行系统走到滙基書院（東九龍）入口或校门边界。,certified_static_reference,358.1,103,Static clean-v3 path found; endpoint/name still needs human pass.,Confirm school entrance/edge and whether the long detour is visually natural.
SLR76-002,2,try_first,shopping_short_estate_errand,resident_daily_errand,dense_hong_kong_hillside_public_estate,estate_podium_or_local_commercial_node,shopping_daily_errand,"ordinary_walk|short_route|junction_choice|podium_or_internal_estate_path|no_vehicle",Strong daily-life scene coverage inside one urban estate map.,SL76-048,第1座 Block 1,"-265,10,-612",SL76-070,corridor_service_lane way/1075072171,SL76-062,利安商場 Lee On Shopping Centre,"-223,10,-634",你是顺利邨居民。请从第1座出发，走到利安商场入口或商场边界办理日常事务。,certified_static_reference,56.8,19,Short static clean-v3 path found; strong daily-life endpoint if the mall facade/entrance is visible.,Confirm mall endpoint is visible enough and not only an OSM center point.
SLR76-003,3,try_first,school_to_service_corridor,student_or_worker_corridor,dense_hong_kong_hillside_public_estate,school_edge_to_service_lane,facilities_service_access,"ordinary_walk|short_route|junction_choice|street_edge|service_lane|no_vehicle",Adds service/corridor operation variety but endpoint is generic and low semantic strength.,SL76-028,基順小學 Kei Shun School,"-119,-1,-714",SL76-016,hillside_steps way/810663022,SL76-063,利安道 Lee On Road,"-154,-2,-669",请从基順小學附近出发，沿屋邨边缘通道走到利安道附近的服务通道位置。,certified_static_reference,54.4,8,Very short static clean-v3 path found; useful as a corridor/control route.,Confirm this is a meaningful endpoint and not just a generic road label.
SLR76-004,4,try_first,east_school_to_garden,school_to_open_space,dense_hong_kong_hillside_public_estate,institution_to_terraced_open_space,recreation_community_garden,"ordinary_walk|junction_choice|level_change_candidate|open_space_boundary|no_vehicle",Adds education-to-open-space scene variety inside Shun Lee.,SL76-034,基督教中國佈道會聖道迦南書院 Saint Too Canaan College,"-54,3,-613",SL76-041,KE+,SL76-042,社區園圃 Community Garden,"-65,3,-549",你是放学后去附近休憩空间的学生。请从聖道迦南書院附近出发，走到社區園圃入口或边界。,certified_static_reference,72.4,16,Static clean-v3 path found; garden endpoint needs visual confirmation because old review said weak support.,Find exact garden entrance/boundary if current waypoint is on vegetation or object center.
SLR76-005,5,try_first,west_open_space_walk,park_to_recreation_facility,dense_hong_kong_hillside_public_estate,terraced_open_space_to_recreation_facility,recreation_sports,"ordinary_walk|junction_choice|level_change|open_space_edge|facility_boundary|no_vehicle",Adds west-side open-space and recreation-facility coverage.,SL76-037,四季花園 Four Seasons Garden,"-249,7,-540","SL76-060|SL76-015","public_service_estate way/276146656|hillside_steps way/677914151",SL76-044,遙控模型賽車場(A場) Radio-Controlled Model Car Racing Circuit (Court A),"-153,7,-517",你是到附近休憩设施活动的居民。请从四季花園附近出发，沿西侧步行路径走到遙控模型賽車場 A 場边界。,certified_static_reference,138.8,58,Static clean-v3 path found; good west-side coverage.,Confirm RC circuit is visually represented; otherwise rewrite as west open-space edge.
SLR76-006,6,try_first,east_transit_edge_to_school,east_edge_to_school,dense_hong_kong_hillside_public_estate,east_street_edge_to_institution_via_footbridge,education_transport_edge,"ordinary_walk|junction_choice|level_change|covered_walkway_candidate|transit_context_without_vehicle|no_vehicle",Covers transport-edge context without claiming a visible bus stop or vehicle operation.,SL76-026,利明樓 Lee Ming House,"24,-2,-695","SL76-005|SL76-011","elevated_walkway_network way/125447648|elevated_walkway_network way/979719292",SL76-034,基督教中國佈道會聖道迦南書院 Saint Too Canaan College,"-54,3,-613",请从利明樓附近的东侧候车/街边位置出发，沿天桥或有盖步行连接走到聖道迦南書院入口或边界。,certified_static_reference,120.4,34,Static clean-v3 path found; bus-stop wording should be avoided until a sign is confirmed.,Use this for elevated-walkway structure, not for bus-stop semantics yet.
SLR76-007,7,try_first,terrain_long_slope_walk,visitor_hillside_view,dense_hong_kong_hillside_public_estate,long_hillside_route_to_retaining_wall,terrain_visual_probe,"ordinary_walk|long_route|junction_choice|level_change|stairs_or_slope|viewpoint_or_retaining_wall|no_vehicle",Only Shun Lee route that explicitly probes terrain/vertical morphology; not a true natural hike map.,SL76-037,四季花園 Four Seasons Garden,"-249,7,-540","SL76-015|SL76-047","hillside_steps way/677914151|park_playground_slope way/698291270",SL76-071,cliff_retaining_wall way/1192823859,"-220,-12,-723",你是来观察顺利邨坡地地形的访客。请从四季花園附近出发，沿坡地路径走到可安全观察挡土墙或高差边界的位置。,certified_static_reference,362.8,115,Static clean-v3 path found; endpoint is semantic/terrain rather than named POI.,Only keep if the retaining wall or obvious level change is visible in first person.
SLR76-008,8,modify_first,community_garden_from_residential,resident_family_open_space,dense_hong_kong_hillside_public_estate,residential_block_to_terraced_garden,recreation_garden,"ordinary_walk|junction_choice|level_change_candidate|open_space_boundary|no_vehicle",Useful open-space route but endpoint must be moved before it counts.,SL76-051,第4座 Block 4,"-241,10,-666","SL76-070|SL76-040","corridor_service_lane way/1075072171|JT-01",SL76-043,簕杜鵑園 Bougainvillea Garden,"-283,14,-500",你是带家人去附近休憩的顺利邨居民。请从第4座出发，走到簕杜鵑園入口或边界。,invalid_goal_acceptance_set,,,No standable clean-v3 goal near endpoint with strict acceptance.,Move endpoint from garden/object center to a visible entrance, path edge, or safe boundary.
SLR76-009,9,modify_first,school_to_north_sitting_out,student_to_open_space,dense_hong_kong_hillside_public_estate,school_to_roadside_sitting_out_area,recreation_roadside_open_space,"ordinary_walk|junction_choice|road_edge|open_space_boundary|possible_level_mismatch|no_vehicle",Potential north-side recreation route; currently not pathable under exact points.,SL76-033,中華基督教會基順學校 CCC Kei Shun Special School,"-137,-2,-739","SL76-003|SL76-047","新清水灣道 New Clear Water Bay Road|park_playground_slope way/698291270",SL76-039,清水灣道臨時休憩處 Clear Water Bay Road Temporary Sitting-out Area,"-320,-7,-712",你是放学后去附近休憩空间的学生。请从中華基督教會基順學校附近出发，走到清水灣道臨時休憩處入口或边界。,no_path_found,,,No static clean-v3 path found under current exact points.,Check whether school or sitting-out endpoint is on the wrong level; consider replacing endpoint with SL76-038 or nearby path edge.
SLR76-010,10,modify_first,estate_to_fire_station,civic_service_visit,dense_hong_kong_hillside_public_estate,residential_block_to_civic_service,civic_facility,"ordinary_walk|junction_choice|level_change|stairs_or_slope_candidate|building_entrance_boundary|no_vehicle",Adds civic/facility scene if fire-station entrance can be fixed.,SL76-052,第5座 Block 5,"-215,10,-671","SL76-014|SL76-065","hillside_steps way/539335279|利安道 Lee On Road",SL76-057,順利消防局 Shun Lee Fire Station,"-125,11,-641",你是去顺利消防局办事的访客或居民。请从第5座出发，沿屋邨步行路径走到順利消防局入口或边界。,no_path_found,,,No static clean-v3 path found under current exact points.,Manually confirm fire-station entrance and choose an accessible boundary point if current marker is isolated.
SLR76-011,11,modify_first,block_to_kei_shun_school,student_to_school,dense_hong_kong_hillside_public_estate,residential_block_to_embedded_school,education,"ordinary_walk|junction_choice|level_change|stairs_or_slope|covered_walkway_candidate|no_vehicle",Second school route candidate; blocked by endpoint standability until manual fix.,SL76-049,第2座 Block 2,"-265,10,-636","SL76-001|SL76-016","利安道 Lee On Road|hillside_steps way/810663022",SL76-033,中華基督教會基順學校 CCC Kei Shun Special School,"-137,-2,-739",你是住在顺利邨的学生。请从第2座出发，穿过屋邨步行网络走到中華基督教會基順學校入口或边界。,invalid_goal_acceptance_set,,,No standable clean-v3 goal near endpoint with strict acceptance.,Move the CCC Kei Shun endpoint to a visible school gate/edge before route certification.
SLR76-012,12,defer,playground_to_fire_station,civic_or_recreation_cross_link,dense_hong_kong_hillside_public_estate,playground_to_civic_cross_link,recreation_to_civic_facility,"ordinary_walk|junction_choice|level_change_candidate|building_boundary|open_space_boundary|no_vehicle",Could connect recreation and civic scenes but currently too weak for first review pass.,SL76-045,順利邨遊樂場 Shun Lee Tsuen Playground,"-69,-2,-665",SL76-061,public_service_estate way/695844270,SL76-057,順利消防局 Shun Lee Fire Station,"-125,11,-641",请从順利邨遊樂場附近出发，沿屋邨内部通道走到順利消防局入口或边界。,no_path_found,,,No static clean-v3 path found and both endpoints need stronger visual confirmation.,Defer until playground and fire-station exact anchors are fixed.
